date,timestamp,price,prev_close,change,change_percent,24k_per_gram,22k_per_gram,18k_per_gram
2025-04-01,1743499800000,267972.6031,267005.6255,966.9776,0.3608,8615.5192,7897.5593,6461.6394
2025-04-02,1743586200000,267719.6354,268100.6182,-380.9828,-0.1423,8607.3861,7890.104,6455.5396
2025-04-03,1743672600000,267523.1985,267429.1251,94.0733,0.0352,8601.0706,7884.3147,6450.8029
2025-04-04,1743759000000,263603.5129,266832.1292,-3228.6163,-1.2248,8475.0497,7768.7956,6356.2873
2025-04-07,1744018200000,259699.4746,265296.779,-5597.3045,-2.1553,8349.532,7653.7377,6262.149
2025-04-08,1744104600000,258763.6968,260694.0618,-1930.3649,-0.746,8319.446,7626.1589,6239.5845
2025-04-09,1744191000000,263624.145,259987.5917,3636.5534,1.3794,8475.7131,7769.4037,6356.7848
2025-04-10,1744277400000,268047.4231,262702.2642,5345.1589,1.9941,8617.9248,7899.7644,6463.4436
2025-04-11,1744363800000,276672.9603,267452.6805,9220.2797,3.3326,8895.2422,8153.972,6671.4317
2025-04-14,1744623000000,276919.2836,276326.0049,593.2787,0.2142,8903.1617,8161.2316,6677.3713
2025-04-15,1744709400000,276762.1691,276187.609,574.5601,0.2076,8898.1104,8156.6012,6673.5828
2025-04-16,1744795800000,283064.4195,276464.0946,6600.3249,2.3317,9100.7324,8342.338,6825.5493
2025-04-17,1744882200000,284185.8477,282480.3993,1705.4485,0.6001,9136.7872,8375.3882,6852.5904
2025-04-18,1744968600000,,283877.1633,,,,,
2025-04-22,1745314200000,294074.1772,,,,9454.7043,8666.8123,7091.0283
2025-04-23,1745400600000,284918.0028,295334.6908,-10416.688,-3.656,9160.3265,8396.966,6870.2449
2025-04-24,1745487000000,284419.5502,284573.2421,-153.6918,-0.054,9144.3009,8382.2758,6858.2257
2025-04-25,1745573400000,281828.3774,284536.1712,-2707.7938,-0.9608,9060.9927,8305.91,6795.7446
2025-04-28,1745832600000,278830.5783,280590.9958,-1760.4175,-0.6314,8964.6113,8217.5603,6723.4584
2025-04-29,1745919000000,282503.0648,279409.5457,3093.5191,1.095,9082.6844,8325.7941,6812.0133
2025-04-30,1746005400000,278268.1947,280865.0708,-2596.8761,-0.9332,8946.5302,8200.986,6709.8977
2025-05-02,1746178200000,274892.8515,271750.5449,3142.3065,1.1431,8838.0104,8101.5095,6628.5078
2025-05-05,1746437400000,,275369.7633,,,,,
2025-05-06,1746523800000,285148.3068,,,,9167.7309,8403.7534,6875.7982
2025-05-07,1746610200000,286400.0665,286535.8112,-135.7447,-0.0474,9207.976,8440.6446,6905.982
2025-05-08,1746696600000,285369.4422,288328.9619,-2959.5197,-1.0371,9174.8406,8410.2706,6881.1305
2025-05-09,1746783000000,284307.2115,285731.1207,-1423.9092,-0.5008,9140.6891,8378.965,6855.5168
